ligand_id,iupac,glycoct,glytoucan_id,monosac_composition
G85640IE,Glc(b1-3)Fruf,"RES
1b:x-dara-HEX-2:5|2:keto
2b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d",G85640IE,Glc:1
G90142YY,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dglc-HEX-1:5
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9d(2+1)10n",G90142YY,"Glc:5,GlcNAc:5"
G72000NJ,Fru,"RES
1b:x-dara-HEX-2:6|2:keto",G72000NJ,
G44345UH,NeuAc(a2-6)Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
3s:n-acetyl
LIN
1:1o(6+2)2d
2:2d(5+1)3n",G44345UH,"Gal:1,Neu:1,NeuAc:1"
G41366RG,Glc(a1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
LIN
1:1o(4+1)2d",G41366RG,Glc:2
G97944IJ,Man(a1-4)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
LIN
1:1o(4+1)2d",G97944IJ,Man:2
G51379UR,Man(a1-6)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
LIN
1:1o(6+1)2d",G51379UR,Man:2
G06000DZ,Gal(a1-4)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d",G06000DZ,"Gal:2,Glc:1"
G10203DW,NeuAc(a2-3)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+2)4d
4:4d(5+1)5n",G10203DW,"Gal:1,Glc:1,GlcNAc:1,Neu:1,NeuAc:1"
G09376MR,NeuAc(a2-6)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(6+2)4d
4:4d(5+1)5n",G09376MR,"Gal:1,Glc:1,GlcNAc:1,Neu:1,NeuAc:1"
